epoch,avg_loss
1,27.46512777330261
2,25.717113079022884
3,24.822095761529308
4,23.95889193652325
5,23.291279440785406
6,22.85755787507356
7,22.399285928834363
8,22.040724789237885
9,21.70222857733485
10,21.25357250955293
11,20.969184803203454
12,20.714473600703535
13,20.464393282386567
14,20.214970348092287
15,20.026797108115883
16,19.729215346717062
17,19.54846427554921
18,19.480402215323654
19,19.26471728396067
20,19.209280588311003
21,18.984765232407213
22,18.85556907019468
23,18.67033771584471
24,18.60972336692081
25,18.532032932774353
26,18.34626687828405
27,18.22569647967679
28,18.216111364942382
29,18.106712717459775
30,17.95579914367596
31,17.89327208961445
32,17.86286033942737
33,17.73438896422321
34,17.649954238093294
35,17.674229993290012
36,17.58090041850797
37,17.471182931177474
38,17.42667357082458
39,17.350238731338052
40,17.448477377514674
41,17.289444244238673
42,17.253034807618064
43,17.237995077284097
44,17.131888274352292
45,17.118626445196416
46,17.079761008249108
47,17.08958111330302
48,17.06195011684832
49,16.980230588115468
50,16.914429596265247
