epoch,avg_loss
1,36.76925076496087
2,30.147655429594302
3,28.162243241445296
4,27.29395100953894
5,26.344378129973617
6,25.655868759300464
7,25.29090672232685
8,24.600869398109243
9,24.134461736636283
10,23.836336732952667
11,23.4503752596551
12,23.489004170458365
13,23.181578951032684
14,22.810492930131392
15,22.30957675124822
16,22.34214042244714
17,22.193124517179974
18,21.969949216191406
19,22.154124100100844
20,21.77245497562285
21,21.5656592810844
22,21.63788343103038
23,21.3236455688502
24,21.183837852970697
25,21.107103635972404
26,20.720446427462615
27,20.757649325866332
28,20.69161813515251
29,20.81671963206722
30,20.91361320983712
31,20.748959709773526
32,20.918991899735417
33,20.430815376043146
34,20.320771720896936
35,20.33077311363004
36,20.3035793411201
37,20.485057237615486
38,20.383989863886757
39,20.364421505425252
40,20.101106099882937
41,20.36968718478717
42,20.204795331527837
43,20.02806209327745
44,20.203002380057875
45,20.037474332746328
46,19.967104959780926
47,20.03489864623086
48,20.072809402980575
49,19.682022081621664
50,19.86649455441087
