accuracy,cross_entropy
0.2608333333333279,1.994985805678838
0.3830555555555448,1.1055956286897017
0.49055555555554015,0.7597990538002812
0.5991666666666663,0.5288705131569489
0.6794444444444566,0.41375792985130394
0.7322222222222426,0.3464776823959272
0.773611111111138,0.2951844074852603
0.8002777777778088,0.26838336458038314
0.8200000000000341,0.23922449461481513
0.8375000000000369,0.21854313247303475
0.8558333333333731,0.1986600728616566
0.8788888888889322,0.17125104032891095
0.915000000000049,0.14131693583822255
0.9194444444444941,0.13495226423475523
0.9202777777778276,0.13479797275078542
0.9219444444444945,0.13009547914082406
0.9213888888889389,0.12794445910348884
0.9191666666667163,0.12764950272265216
0.9183333333333829,0.12660066399969816
0.9186111111111607,0.1255039954635622
0.9169444444444937,0.12521847019616528
0.9166666666667159,0.12452440315432714
0.9136111111111599,0.12471869829208829
0.9127777777778264,0.12501194957278822
0.9122222222222708,0.12500656111362302
0.9111111111111595,0.12550209230963072
0.9088888888889369,0.12579335811256467
0.90722222222227,0.1258687396558447
0.904166666666714,0.1253032922410659
0.8997222222222688,0.1255573776554263
0.8991666666667132,0.12666868895804648
0.8980555555556019,0.12753455656607784
0.8941666666667124,0.12888599572527115
0.8902777777778229,0.1305710526934867
0.8875000000000447,0.1321471286085519
0.8900000000000451,0.13366517308372497
0.8880555555556003,0.13488575783772538
0.8861111111111556,0.1365212043223172
0.8836111111111552,0.13828363028916849
0.8825000000000439,0.14018991348939427
0.8802777777778213,0.14239080490822612
0.8786111111111544,0.1447716092335893
0.8744444444444871,0.14748944321531016
0.8650000000000412,0.15240652469635504
0.8602777777778182,0.15554321023308137
0.8572222222222622,0.1588418877163893
0.862222222222263,0.1579284993763268
0.8525000000000392,0.16513187260057013
0.843611111111149,0.175219504367866
0.8391666666667038,0.18132834652022936
