mse_dwave,mse_pcd
60.335755544157124,60.65324234745741
59.38078021831938,60.17362124651761
58.58143798525895,59.70943189469933
57.93395548686425,59.25699304767659
57.40894822025034,58.82091286404062
56.97235743142489,58.39993094722766
56.605514710900124,57.99431858123548
56.29578290875637,57.60522488560673
56.03045660512465,57.230450102796034
55.800435882584765,56.87224434667882
55.60184745177148,56.527935294796684
55.43871598373892,56.198957889493215
55.29939376824109,55.87953083780849
55.18638508985671,55.57199130731564
55.09082674322091,55.27670001683786
55.00891566744804,54.99097497679678
54.92291186124853,54.71129033063821
54.844044655463016,54.445409915775436
54.76889381667947,54.189565604402496
54.69394741315632,53.94171630542192
54.62181468782727,53.70409024241403
54.54874810429442,53.471033842740454
54.483950433871655,53.247271916519225
54.43011210297208,53.03166815996731
54.3748034187845,52.81889724274617
54.33385808310454,52.618985820766056
54.296552272998014,52.427664275231265
54.263368388709225,52.23818430477612
54.229990478894585,52.053849660569355
54.199739218359625,51.87243153830834
54.17745116752493,51.6954943389933
54.15324901888154,51.52402715703148
54.13397387919438,51.35937024158826
54.116254252913734,51.20238269339531
54.09392278103044,51.04821330960951
54.07323046499216,50.90020248318496
54.05714304895064,50.755429980222786
54.0391719552528,50.614494783953
54.02074912814136,50.47802579506254
54.008370575496116,50.345960432601885
53.99681478645512,50.21881183460216
53.982491382676486,50.095866566968944
53.968174664764426,49.97600286551008
53.953874298418256,49.859829379151876
53.92961139177529,49.74875573702861
53.90387653190797,49.64156004215772
53.88834900384644,49.53511538650661
53.87516205331946,49.430122151650416
53.86048052939223,49.328608351269125
53.842480431397625,49.23105868078933
