accuracy,cross_entropy
0.21694444444444094,1.2240627366716474
0.4197222222222099,0.7864351209850976
0.5808333333333301,0.5526450412939482
0.663333333333343,0.4285964930604911
0.7097222222222391,0.3556877880263957
0.7405555555555773,0.3110048566633954
0.7625000000000252,0.2757160001848061
0.789166666666696,0.24487376946606476
0.8147222222222555,0.22390316833095592
0.8252777777778127,0.2125170001737636
0.834166666666703,0.20653014012294432
0.8400000000000373,0.20260583369133794
0.846666666666705,0.19859927626532134
0.8536111111111505,0.19579827328477314
0.8550000000000396,0.1941323836049215
0.8580555555555957,0.19247802242049053
0.860555555555596,0.19073519498566338
0.8569444444444844,0.19194465222023158
0.8597222222222626,0.19084063899292017
0.8541666666667062,0.1960173901974226
0.8438888888889268,0.20423820738805384
0.8430555555555933,0.21238869214689848
0.8383333333333703,0.22160428438640953
0.8327777777778139,0.2333849725223096
0.8297222222222579,0.24733053722897594
0.8238888888889236,0.2641623637679693
0.8180555555555894,0.2847059709967236
0.8100000000000326,0.30424090359607003
0.8033333333333649,0.3255700103965761
0.7808333333333614,0.341190158235579
0.7713888888889154,0.35217443216582806
0.7713888888889154,0.3647791857778654
0.7711111111111376,0.3795503366308542
0.7461111111111337,0.3937916887797032
0.744166666666689,0.403588120237603
0.7516666666666901,0.4167602660108868
0.7447222222222446,0.43227511703525623
0.7272222222222419,0.44598065171012763
0.7222222222222411,0.45728922076546213
0.7219444444444633,0.46942170948279965
0.7369444444444656,0.48730562896977764
0.7197222222222407,0.5035332467316864
0.7086111111111278,0.5165327000471822
0.6963888888889037,0.5272109336757774
0.6980555555555706,0.5418912080998177
0.6947222222222368,0.5588371170259672
0.6980555555555706,0.568081486173316
0.6913888888889029,0.5805706117340907
0.6933333333333477,0.5952374257283389
0.6925000000000142,0.611306438487885
