accuracy,cross_entropy
0.2416666666666621,1.122362601090062
0.4608333333333192,0.6926028099363895
0.5783333333333297,0.5463963569387039
0.6277777777777819,0.46789257922679667
0.6650000000000099,0.42167202325144
0.6875000000000134,0.39058332423617187
0.7013888888889045,0.3654016979616807
0.7202777777777963,0.34773532509834254
0.7338888888889096,0.3360034559556311
0.7452777777778002,0.3195511699995435
0.7522222222222458,0.30666112311149696
0.7616666666666917,0.2965171954593911
0.773611111111138,0.28249697722646133
0.7816666666666948,0.2740646312753332
0.7908333333333629,0.2690677733743375
0.7950000000000302,0.2623377411426032
0.7950000000000302,0.25690103268733944
0.7966666666666972,0.25318415882745354
0.8019444444444758,0.24749448692210044
0.803055555555587,0.2479623473708837
0.7977777777778085,0.2526167808506336
0.8027777777778092,0.2467041935143868
0.8083333333333657,0.24108332335278634
0.8050000000000318,0.2424784344046778
0.8027777777778092,0.24133493855340205
0.8033333333333649,0.23913530124511492
0.8061111111111431,0.23568376845418462
0.8086111111111435,0.23261092380346737
0.8072222222222544,0.23170686601564724
0.7997222222222532,0.23352946820128162
0.7986111111111419,0.23573593695211206
0.7905555555555851,0.23868166310239095
0.7880555555555847,0.24078294655452517
0.7805555555555835,0.24301551005012131
0.7788888888889166,0.2434100666355116
0.7763888888889162,0.24440434063710717
0.7713888888889154,0.24519979455199467
0.7644444444444699,0.24648057534920076
0.75805555555558,0.24745984566614904
0.7283333333333532,0.2503262881456084
0.7219444444444633,0.2507596159162188
0.744166666666689,0.25077910398814524
0.7413888888889107,0.2513178229220315
0.7402777777777995,0.24738837420562096
0.7444444444444668,0.24323216649980337
0.7408333333333551,0.24111339671543125
0.7405555555555773,0.24006231868504616
0.7377777777777991,0.23971339763741037
0.7336111111111318,0.2395042849242629
0.723888888888908,0.24040988745004704
